lambda,q,r,qf,num_safeified,num_unsafeified,num_tox_un,num_tox_contr,dist1_base,dist2_base,dist3_base,dist1_steered,dist2_steered,dist3_steered
0.5,0.1,0.1,0.1,205,121,319,235,0.19285944551901998,0.6180318620207936,0.8871635054537639,0.196101849969506,0.6214327463088613,0.8932655654383735
1,0.1,0.1,0.1,260,52,317,109,0.19089018080964318,0.6196495719657572,0.8886814593556646,0.2030590317279737,0.6232745107953683,0.8880995120471267
1.5,0.1,0.1,0.1,332,9,351,28,0.19470745326535566,0.6210412732667926,0.888559173433327,0.20370988875472085,0.6202918657828478,0.8839187071246885
2,0.1,0.1,0.1,310,2,315,7,0.1917477680366766,0.6234650651509465,0.8940933587151781,0.1568861964067497,0.5374934997399896,0.813671702332354
2.5,0.1,0.1,0.1,330,0,330,0,0.1889776357827476,0.6154050959823212,0.8820757228819426,0.07212281313861336,0.31753271028037383,0.5828681088625262
0.5,0.1,0.1,1,189,199,348,358,0.19514157014157013,0.625445770210484,0.8938703276666488,0.18750793127077994,0.6105583756345178,0.8844386913373435
1,0.1,0.1,1,253,72,329,148,0.18963899981239782,0.6174689108061749,0.8879954973064244,0.20044897341472026,0.626131920797074,0.8937796387851882
1.5,0.1,0.1,1,306,22,331,47,0.19229735540743925,0.6202596285645174,0.8902327581572864,0.20077151485927466,0.618496523019136,0.8842668967792695
2,0.1,0.1,1,322,3,330,11,0.19350948654732555,0.6218410826745276,0.8891032856300585,0.1572218649517685,0.5361681329423265,0.809816582203586
2.5,0.1,0.1,1,344,2,346,4,0.19011345653515008,0.619950646424548,0.8900512325313162,0.0754398346524172,0.32911551937085676,0.5982809034079452
0.5,0.1,0.1,10,169,216,329,376,0.1904659996789899,0.6167304245472299,0.884804708400214,0.18774024387139476,0.6109668550481137,0.8819531071001248
1,0.1,0.1,10,263,71,341,149,0.1892836187123273,0.6157416050996186,0.8900565453963513,0.20247326541989763,0.6268467600922429,0.8926507856056767
1.5,0.1,0.1,10,309,12,337,40,0.19138023630504833,0.6199951663578507,0.8913475482034481,0.20134840573832818,0.6141484804704331,0.8818057386190814
2,0.1,0.1,10,316,4,319,7,0.18939475381638357,0.6182707555029967,0.8925710906842982,0.15632031090202494,0.5402316483853647,0.8165175147021222
2.5,0.1,0.1,10,318,2,321,5,0.19014632836622367,0.6223552787026099,0.8908788228660419,0.07321911184944584,0.31145549218943713,0.5721441146569466
0.5,0.1,0.1,100,149,223,313,387,0.19226870131256002,0.6189205773283889,0.8825569606744571,0.18517199267250153,0.6085540543978831,0.8813291944430309
1,0.1,0.1,100,276,61,342,127,0.19218162278344975,0.6193610790187807,0.8901875436616691,0.1974808930008045,0.6235323695788813,0.8929702820938301
1.5,0.1,0.1,100,295,24,325,54,0.18945223476419015,0.6171707421707422,0.8872234884032713,0.20108281226170505,0.6171424213924405,0.8830706659888155
2,0.1,0.1,100,326,4,333,11,0.1904136044203637,0.6209597382044473,0.887151287553648,0.15626590654586175,0.5348553103764221,0.8111987783150929
2.5,0.1,0.1,100,343,2,344,3,0.1900191421099458,0.61784847667835,0.8855725417239613,0.07380869737690286,0.3188951974809709,0.5808787067341069
0.5,0.1,0.1,1000,174,208,349,383,0.1931038195472531,0.6265948855989233,0.8938598616382675,0.18278640603950078,0.6030503304524657,0.8742723505935586
