lambda,q,r,qf,num_safeified,num_unsafeified,num_tox_un,num_tox_contr,dist1_base,dist2_base,dist3_base,dist1_steered,dist2_steered,dist3_steered
0.5,1,0.1,1,257,55,322,120,0.2048316560408873,0.6343230497668414,0.8837074507324271,0.20975672544729052,0.6241118319431572,0.880956671729784
1,1,0.1,1,277,15,293,31,0.206988175900093,0.6339214540043577,0.884250524805357,0.19985099167608672,0.592220537985253,0.8403216689789836
1.5,1,0.1,1,315,3,321,9,0.19885947473056398,0.6258403746043373,0.8801077800449956,0.11771477190260504,0.35315315315315315,0.5529417653094422
2,1,0.1,1,306,0,308,2,0.20136032900980702,0.6284042076401888,0.8796730819931453,0.034881647572772255,0.09606597570489246,0.17252139800285307
2.5,1,0.1,1,307,1,307,1,0.20312336507272158,0.6309153216313077,0.8807356249672997,0.011663993668117724,0.03166007081857946,0.06059280551563249
0.5,1,1,1,232,52,284,104,0.20294388224471022,0.6311376301125013,0.8816602265857056,0.208057126769215,0.6240849756846686,0.8811845708874043
1,1,1,1,264,18,287,41,0.20115606936416186,0.6244777844924985,0.8801828787639918,0.19485173501577288,0.5916363819907127,0.8383514625343866
1.5,1,1,1,298,5,307,14,0.20028517863272688,0.625165038288883,0.8735905357944493,0.1192313256498047,0.37260386275408097,0.57421875
2,1,1,1,293,2,293,2,0.20270057268953923,0.6305530014448969,0.8827238335435057,0.04141347424042272,0.12014795570135846,0.21150204764630764
2.5,1,1,1,285,1,285,1,0.20320926297980332,0.632934147566553,0.8792100671495796,0.015507392819582208,0.040728367565784046,0.07735456064011878
0.5,10,0.1,1,258,46,325,113,0.20326659641728134,0.6294159487868489,0.881553295747932,0.21101317070670836,0.6255477258167841,0.8795356703567035
1,10,0.1,1,297,15,321,39,0.203505510556367,0.629255855951559,0.879770536212254,0.19612191222732195,0.5842551765039581,0.8287777204744714
1.5,10,0.1,1,296,6,302,12,0.20116064362964917,0.632461948349996,0.8822412155745489,0.11784393165404262,0.35497508681866224,0.5534136950449203
2,10,0.1,1,290,4,291,5,0.20119595703021645,0.6261212393829545,0.8790484758679086,0.03306231841625189,0.09376126126126126,0.1726840694610239
2.5,10,0.1,1,286,2,286,2,0.20363512200246894,0.6315139735238495,0.8824564629245357,0.011906984462837347,0.03213292951084927,0.061860802821284096
0.5,10,1,1,269,42,318,91,0.19869723951356605,0.6236866988863207,0.8751017835097581,0.20996071473830946,0.6253865260810058,0.8769421843712772
1,10,1,1,280,11,289,20,0.2011025823639577,0.6219203376417831,0.8740932232451397,0.18857827272495603,0.5632517838939858,0.8059328729070567
1.5,10,1,1,292,2,293,3,0.20186343600707365,0.6342448397825055,0.8873168800316749,0.10170021402977178,0.31378962050887405,0.49991582694018905
2,10,1,1,299,1,300,2,0.19888388178578914,0.6229989257735741,0.8742336110674422,0.028797118118096394,0.08168402777777778,0.15009006271837497
2.5,10,1,1,317,0,317,0,0.20289316522893167,0.6282316717099325,0.8789584052239005,0.011134393360450306,0.03054830823592251,0.05953652724135097
0.5,0.1,1,1,222,58,276,112,0.2051748214897373,0.630981239460371,0.8816631972807041,0.21116420287691007,0.6429655807471193,0.8909158785465405
1,0.1,1,1,250,24,285,59,0.2031495239091765,0.6310722787558531,0.8823313974781563,0.2012499382441579,0.6174007559101801,0.8685276679841897
1.5,0.1,1,1,274,6,287,19,0.20379121894553423,0.6307688245854894,0.8823234323432343,0.16568460039924,0.536317283178604,0.7809125237511124
2,0.1,1,1,258,4,261,7,0.199582136328023,0.6266290579539816,0.8796489761805265,0.08804340515211981,0.30366351284695753,0.4969843725477007
2.5,0.1,1,1,307,0,307,0,0.19940148054811782,0.6253379886068307,0.8782684028142392,0.03731876444631225,0.12334783248229633,0.22669580566529376
0.5,0.1,10,1,214,85,298,169,0.1992537118701563,0.6262460205626011,0.8767777458834581,0.21675671523314471,0.6505684728054901,0.8972369465570664
1,0.1,10,1,243,54,301,112,0.20320349280660688,0.6282219884271436,0.88055972013993,0.2173607273823278,0.6464220229573255,0.8935245654576509
1.5,0.1,10,1,239,33,285,79,0.20378134641246737,0.6293444438584462,0.8809103135465837,0.21586775223341334,0.6510097010492971,0.8983096988145618
2,0.1,10,1,244,18,268,42,0.2048668720865924,0.6304714248090598,0.880639469040533,0.20121013980042451,0.6340457717269311,0.8830791753080395
2.5,0.1,10,1,275,9,286,20,0.2045586145180818,0.6338009633353513,0.8855548536534007,0.18005234219308988,0.5945543603534383,0.8415251998943502
0.5,1,1,1,243,41,300,98,0.20388170055452864,0.6333676622039135,0.8851272842505545,0.21179210652894864,0.6409367088607595,0.8958960986354085
1,1,1,1,275,21,298,44,0.20234205504874925,0.6263592639063154,0.8796235786171742,0.191595210119747,0.58685,0.8392459811495288
1.5,1,1,1,274,2,280,8,0.2013734757291694,0.62627950699812,0.8766679723201463,0.12512694037429276,0.3904538530357618,0.6006625398974755
2,1,1,1,283,1,285,3,0.20148763371619313,0.6306050570362193,0.8836640820081483,0.042711478709903286,0.12524890046169668,0.2199562363238512
2.5,1,1,1,301,0,302,1,0.1981899505636787,0.6207167146220246,0.8749640325407413,0.014030244344637191,0.03895996868368461,0.07647931432338882
